OTU ID	sample1	sample2	sample3	sample4	sample5	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU_1021	1	0	28	289	267	100%|Massarina_sp_JP_2013|JX981477|SH018317.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina;s__Massarina_sp_JP_2013	Massarina	13	Pathotroph-Saprotroph	|Plant Pathogen|-Undefined Saprotroph	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
OTU_1002	95	127	183	10	121	100%|Leptodontidium_sp|FJ552955|SH209316.06FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae_sedis;g__Leptodontidium;s__Leptodontidium_sp	Leptodontidium	13	Saprotroph-Symbiotroph	Endophyte-Ericoid Mycorrhizal-|Plant Saprotroph|	Microfungus	NULL	Highly Probable	As litter_saprotroph (Põlme et al. 2020); As root_endophyte_dark_septate (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots.; Decay leaf, fruit, seed (Põlme et al. 2020)	Jumpponen A, Trappe J. 1998. New Phytologist 140:295-310 ((https://doi.org/10.1046/j.1469-8137.1998.00265.x)) (as DSE); Taylor DL, et al. 2014. Ecological Monographs 8:43-20 ((https://esajournals.onlinelibrary.wiley.com/doi/10.1890/12-1693.1)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
OTU_1015	29	9	0	0	8	100%|uncultured_fungus|KC965399|SH451013.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus	-	-	-	-	-	-	-	Unassigned	-
OTU_1011	2	12	18	0	12	81.96%|Entrophospora_sp_JJ38|AY035644|SH431532.06FU|reps_singleton|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Entrophospora;s__Entrophospora_sp_JJ38	Entrophospora	13	Symbiotroph	|Arbuscular Mycorrhizal|-Endophyte	Microfungus	NULL	Highly Probable	As root_endophyte (Põlme et al. 2020)	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
OTU_1008	9	3	0	0	1	97.09%|Helotiaceae_sp|FJ475546|SH195739.06FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp	Helotiaceae	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Probable	Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
OTU_1023	0	0	3	0	0	100%|Scleroderma_areolatum|EU784408|SH434269.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Sclerodermataceae;g__Scleroderma;s__Scleroderma_areolatum	Scleroderma	13	Symbiotroph	|Ectomycorrhizal|	Gasteroid	NULL	Highly Probable	 puffball; Common name 	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
OTU_1024	1	1	0	0	0	100%|Derxomyces_sp_LTD_2009a|AB508840|SH457761.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Derxomyces;s__Derxomyces_sp_LTD_2009a	Derxomyces	13	Saprotroph-Symbiotroph	Epiphyte-|Undefined Saprotroph|	Dimorphic	NULL	Probable	NULL	Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
OTU_1003	1	0	1	0	0	79.31%|uncultured_fungus|KC966088|SH441311.06FU|reps_singleton|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_fungus	-	-	-	-	-	-	-	Unassigned	-
OTU_1018	0	0	2	0	0	96.97%|uncultured_Ascomycota|FN562038|SH449221.06FU|reps_singleton|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__uncultured_Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU_100	0	1	0	0	0	93.6%|Laetisaria_fuciformis|EU118639|SH012042.06FU|reps_singleton|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Laetisaria;s__Laetisaria_fuciformis	Laetisaria	13	Pathotroph-Saprotroph	|Plant Pathogen|-Wood Saprotroph	Corticioid	NULL	Probable	As wood_pathogen (Põlme et al. 2020); Decay wood (Põlme et al. 2020)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))
