#OTU	Sp11	Sp12	Sp13	Sp21	Sp22	Sp23	Su11	Su12	Su13	Su21	Su22	Su23	Au11	Au12	Au13	Au21	Au22	Au23	Wi11	Wi12	Wi13	Wi21	Wi22	Wi23
Otu10	11	460	2002	47	10	287	2	14	14	12	9	20	21	148	282	20	45	1042	119	12	105	268	47	86
Otu100	243	131	95	149	124	145	113	82	263	116	106	166	120	149	94	158	124	130	122	170	104	320	151	173
Otu1000	0	0	3	0	0	0	0	19	2	0	0	2	1	1	3	0	0	0	0	2	10	0	0	0
Otu1001	3	0	2	5	14	14	3	0	2	10	6	4	1	3	1	3	2	5	0	5	4	0	3	4
Otu1002	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Otu1003	2	3	1	8	3	13	0	4	8	2	12	4	1	8	14	10	4	4	0	5	8	0	8	6
Otu1005	9	16	7	9	12	6	8	4	20	5	7	16	7	10	16	8	8	4	5	12	10	0	9	4
Otu1006	1	0	0	8	0	4	2	2	0	3	7	0	0	4	0	7	5	7	11	0	2	10	3	16
Otu1008	10	20	15	14	10	25	16	18	12	12	14	11	22	9	17	14	13	9	16	27	14	2	14	13
Otu1009	6	28	41	3	4	14	7	5	14	3	12	45	5	17	22	7	31	43	5	12	15	21	15	12
Otu101	1	13	129	0	0	1	0	80	0	0	0	11	0	9	40	0	0	0	0	5	118	0	2	8
Otu1010	6	41	14	6	0	8	8	12	7	3	7	2	4	12	14	13	12	15	8	22	20	11	14	17
Otu1011	58	26	25	18	4	13	4	14	7	0	2	11	13	20	19	4	5	18	5	7	17	31	11	8
Otu1012	16	7	11	0	6	4	10	16	5	9	5	11	9	7	18	1	3	0	3	12	16	27	2	4
Otu1013	0	2	0	0	0	0	0	0	0	0	0	0	1	11	8	3	0	0	11	0	0	8	0	2
Otu1014	19	3	6	12	14	10	2	4	3	9	5	4	22	4	10	13	10	11	11	7	6	7	12	19
Otu1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Otu1016	0	0	1	0	1	0	0	0	0	0	2	4	0	5	0	0	0	0	5	10	4	2	6	72
Otu1017	12	3	1	8	10	11	8	11	5	14	5	2	14	3	2	7	0	7	16	2	2	4	9	4
Otu1018	17	4	3	12	18	6	13	4	7	7	2	7	10	2	0	6	8	5	3	0	0	20	8	8
Otu1019	78	56	26	30	30	19	30	25	89	24	33	63	59	49	23	41	15	11	41	89	10	53	21	17
Otu1020	4	3	0	2	4	0	3	5	2	5	5	2	14	5	3	3	0	0	22	5	14	4	3	4
Otu1021	10	10	4	5	6	10	17	7	7	7	0	4	7	9	8	13	3	2	8	10	13	38	9	15
Otu1022	2	1	5	3	12	1	5	23	2	3	2	4	7	4	0	14	4	2	22	0	15	15	3	0
Otu1023	31	16	17	14	10	17	20	38	19	20	5	22	16	37	16	17	16	22	19	34	68	36	16	40
Otu1024	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	11	0	0	0	0	0	29	5	0
Otu1025	4	3	0	6	1	0	0	11	2	0	0	0	1	2	0	3	0	0	0	0	4	10	2	8
Otu1026	0	3	3	3	1	6	0	2	8	9	0	11	4	1	1	1	2	2	0	7	0	0	5	4
Otu1027	4	1	9	2	4	3	5	7	0	2	0	2	13	16	8	8	7	5	27	15	19	4	2	6
Otu1028	0	1	1	0	4	0	3	2	25	0	2	4	2	1	2	0	5	0	0	2	23	0	2	8
Otu1029	0	7	2	2	0	10	0	0	0	0	0	0	0	4	3	0	0	0	0	2	7	0	0	2
Otu103	166	62	35	59	51	134	166	37	238	138	92	162	137	83	93	149	109	74	45	94	49	4	133	113
Otu1030	1	3	10	12	3	8	3	5	24	9	2	2	3	4	12	7	20	13	0	17	2	0	8	4
Otu1031	9	14	3	2	4	13	5	9	16	15	9	27	15	19	12	14	12	4	0	7	8	2	9	3
Otu1032	9	3	3	8	8	13	10	9	8	15	2	16	3	3	4	17	2	11	3	2	0	2	4	13
Otu1034	10	4	1	2	4	4	7	0	8	12	12	9	4	11	1	7	5	9	8	5	2	0	7	15
Otu1035	2	4	11	2	1	3	2	12	3	2	0	0	11	9	13	3	3	14	14	30	17	17	6	12
Otu1036	0	1	1	0	12	4	0	0	2	9	5	4	0	1	2	14	0	0	0	2	0	0	5	2
Otu1037	1	2	0	11	18	0	3	7	0	3	7	0	5	5	2	1	0	0	8	0	0	8	3	0
Otu1038	6	1	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Otu1039	2	3	1	0	1	4	5	0	2	3	5	0	5	3	0	8	8	0	0	5	2	4	3	2
Otu104	11	5	15	12	10	19	3	43	20	32	7	16	82	26	36	56	33	18	232	94	63	505	59	132
Otu1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0
Otu1041	1	0	0	2	25	4	0	0	0	27	14	16	7	0	0	15	2	0	33	0	0	10	0	8
Otu1042	0	2	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	5	15	8	9	6
Otu1043	3	11	6	0	8	7	0	2	10	10	21	4	0	4	9	4	18	24	3	7	2	0	23	15
Otu1044	3	3	5	8	7	11	7	12	10	5	14	7	6	15	16	6	15	5	35	12	2	26	32	19
Otu1045	1	3	7	2	1	8	0	4	14	0	0	4	4	5	16	1	3	7	0	2	8	2	3	4
Otu1046	10	5	4	0	1	4	0	2	2	0	5	4	4	8	12	6	2	2	8	2	8	4	3	6
Otu1047	10	1	1	6	0	6	3	0	2	10	5	7	2	9	5	14	8	5	5	2	6	0	6	8
Otu1048	4	0	0	3	10	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	2	0	0
Otu1049	27	20	18	19	19	49	27	5	34	84	51	43	27	44	25	56	51	40	22	20	21	19	37	51
Otu105	122	86	52	91	282	249	66	37	170	137	177	87	75	86	68	234	129	71	132	96	44	31	108	139
Otu1050	16	9	3	3	14	2	12	7	5	9	5	2	19	7	7	4	8	4	0	2	2	2	5	10
Otu1051	9	7	7	6	14	13	22	9	10	29	12	18	10	9	16	13	20	4	8	5	12	0	6	10
Otu1052	0	0	11	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu1053	8	1	3	7	3	0	7	4	0	0	0	2	17	2	0	0	0	2	0	0	0	0	0	0
Otu1054	4	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	10	0	0	0
Otu1055	6	2	3	5	7	17	3	4	5	12	14	13	1	7	8	8	7	16	7	5	4	6	8	23
Otu1056	3	6	9	6	6	7	2	21	5	9	2	9	1	4	5	13	12	4	3	2	8	2	8	15
Otu1057	13	7	11	6	1	4	8	21	3	0	2	11	11	7	14	0	0	5	3	32	20	2	9	8
Otu1058	5	3	7	2	4	6	5	5	14	3	0	7	1	9	6	1	2	7	0	10	2	0	3	4
Otu1059	2	0	0	2	0	3	0	0	2	17	5	4	1	0	0	1	0	0	0	2	0	0	3	4
Otu106	0	0	0	0	66	1	0	0	0	118	0	0	1	0	7	3	0	0	78	5	0	8	0	0
Otu1060	4	2	0	0	10	8	3	0	2	3	16	2	3	1	5	3	18	0	0	2	0	2	2	0
Otu1063	22	16	17	23	29	25	8	25	44	22	45	20	40	38	22	64	41	28	82	17	10	58	41	46
Otu1064	2	3	3	0	0	10	0	5	8	2	5	0	0	5	1	0	2	2	0	0	2	0	2	4
